,middle_cam,steering
15,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_20_864.jpg,0.0
16,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_20_932.jpg,0.0
17,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_002.jpg,-0.15
18,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_073.jpg,-0.3
19,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_141.jpg,0.0
20,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_212.jpg,0.0
21,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_281.jpg,-0.05
22,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_350.jpg,-0.2
23,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_418.jpg,0.0
24,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_485.jpg,0.0
25,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_553.jpg,-0.1
26,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_626.jpg,0.0
27,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_692.jpg,0.0
28,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_762.jpg,0.0
29,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_834.jpg,0.0
30,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_904.jpg,0.0
31,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_21_974.jpg,0.0
32,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_041.jpg,0.0
33,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_109.jpg,0.0
34,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_176.jpg,0.0
35,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_249.jpg,-0.09859154
36,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_317.jpg,-0.15023470000000003
37,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_388.jpg,-0.1737089
38,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_456.jpg,-0.17840379999999997
39,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_526.jpg,-0.17840379999999997
40,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_595.jpg,-0.09859154
41,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_664.jpg,0.2065728
42,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_735.jpg,0.2159625
43,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_803.jpg,0.3098592
44,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_870.jpg,0.3098592
45,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_22_937.jpg,0.1220657
46,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_007.jpg,-0.1408451
47,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_077.jpg,-0.15023470000000003
48,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_149.jpg,-0.2159625
49,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_217.jpg,-0.2535211
50,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_286.jpg,-0.2535211
51,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_356.jpg,-0.2535211
52,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_429.jpg,-0.2441315
53,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_498.jpg,-0.2441315
54,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_570.jpg,-0.2488263
55,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_637.jpg,-0.2488263
56,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_706.jpg,-0.2488263
57,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_773.jpg,-0.2488263
58,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_845.jpg,-0.2394366
59,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_912.jpg,-0.1549296
60,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_23_979.jpg,0.08920188
61,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_049.jpg,0.1971831
62,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_120.jpg,0.1971831
63,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_189.jpg,0.02816901
64,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_257.jpg,-0.09859154
65,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_326.jpg,-0.11737089999999999
66,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_396.jpg,-0.11737089999999999
67,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_466.jpg,-0.1220657
68,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_540.jpg,-0.1220657
69,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_607.jpg,-0.01877934
70,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_676.jpg,0.004694836
71,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_747.jpg,0.03755869
72,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_817.jpg,0.03755869
73,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_885.jpg,0.03755869
74,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_24_953.jpg,0.03755869
75,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_024.jpg,0.03755869
76,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_092.jpg,0.03755869
77,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_165.jpg,0.03755869
78,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_238.jpg,0.03755869
79,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_307.jpg,0.03755869
80,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_373.jpg,0.03755869
81,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_445.jpg,0.03755869
82,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_517.jpg,0.03286385
83,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_588.jpg,-0.02816901
84,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_661.jpg,-0.06103287
85,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_730.jpg,-0.07042254
86,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_802.jpg,-0.07042254
87,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_874.jpg,-0.08450703
88,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_25_947.jpg,-0.08450703
89,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_019.jpg,-0.08450703
90,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_091.jpg,-0.09859154
91,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_164.jpg,0.0
92,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_235.jpg,0.0
93,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_302.jpg,0.0
94,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_375.jpg,0.0
95,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_446.jpg,-0.06103287
96,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_518.jpg,-0.19248829999999997
97,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_585.jpg,-0.2300469
98,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_659.jpg,-0.23474179999999997
99,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_731.jpg,-0.23474179999999997
100,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_802.jpg,-0.2112676
101,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_869.jpg,-0.1830986
102,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_26_942.jpg,-0.1596244
103,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_010.jpg,-0.1549296
104,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_083.jpg,-0.1408451
105,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_152.jpg,-0.1032864
106,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_221.jpg,-0.1032864
107,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_290.jpg,-0.1032864
108,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_359.jpg,-0.04694836
109,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_431.jpg,0.06572769999999999
110,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_503.jpg,0.07042254
111,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_571.jpg,0.06103287
112,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_639.jpg,0.05164319
113,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_708.jpg,0.05164319
114,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_775.jpg,0.05164319
115,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_841.jpg,-0.01877934
116,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_911.jpg,-0.04694836
117,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_27_982.jpg,-0.04694836
118,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_050.jpg,-0.04694836
119,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_118.jpg,-0.04694836
120,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_187.jpg,-0.04694836
121,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_254.jpg,-0.04694836
122,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_325.jpg,-0.04694836
123,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_395.jpg,-0.04694836
124,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_467.jpg,-0.04694836
125,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_537.jpg,-0.05164319
126,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_611.jpg,-0.05164319
127,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_681.jpg,-0.05164319
128,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_753.jpg,-0.05633803
129,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_823.jpg,-0.06103287
130,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_893.jpg,-0.07511737
131,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_28_967.jpg,-0.08920188
132,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_035.jpg,-0.08920188
133,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_103.jpg,-0.08920188
134,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_171.jpg,-0.08920188
135,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_243.jpg,-0.08920188
136,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_315.jpg,-0.08920188
137,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_388.jpg,-0.08920188
138,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_456.jpg,-0.08920188
139,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_530.jpg,-0.08920188
140,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_596.jpg,-0.08920188
141,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_670.jpg,-0.08920188
142,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_738.jpg,-0.08920188
143,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_807.jpg,-0.07511737
144,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_879.jpg,-0.06572769999999999
145,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_29_952.jpg,-0.04694836
146,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_021.jpg,-0.03286385
147,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_092.jpg,-0.004694836
148,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_163.jpg,0.04225352
149,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_232.jpg,0.05164319
150,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_302.jpg,0.05633803
151,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_371.jpg,0.05633803
152,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_441.jpg,0.05633803
153,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_510.jpg,0.06572769999999999
154,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_578.jpg,0.06572769999999999
155,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_650.jpg,0.06572769999999999
156,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_720.jpg,0.06572769999999999
157,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_792.jpg,0.06103287
158,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_866.jpg,0.06103287
159,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_30_937.jpg,0.06103287
160,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_008.jpg,0.06103287
161,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_080.jpg,0.04225352
162,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_151.jpg,-0.08450703
163,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_219.jpg,-0.1596244
164,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_292.jpg,-0.2159625
165,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_360.jpg,-0.2159625
166,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_431.jpg,-0.2159625
167,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_505.jpg,-0.1877934
168,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_574.jpg,-0.15023470000000003
169,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_644.jpg,-0.13145539999999997
170,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_712.jpg,-0.10798119999999999
171,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_782.jpg,-0.07042254
172,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_851.jpg,-0.05633803
173,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_923.jpg,-0.04694836
174,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_31_993.jpg,-0.03755869
175,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_067.jpg,0.03286385
176,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_139.jpg,0.04225352
177,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_211.jpg,0.04225352
178,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_281.jpg,0.04225352
179,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_348.jpg,0.03755869
180,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_422.jpg,0.03755869
181,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_493.jpg,0.03286385
182,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_563.jpg,0.0
183,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_633.jpg,-0.004694836
184,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_700.jpg,-0.004694836
185,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_769.jpg,-0.004694836
186,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_839.jpg,-0.004694836
187,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_910.jpg,-0.004694836
188,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_32_981.jpg,-0.004694836
189,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_053.jpg,-0.004694836
190,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_126.jpg,-0.004694836
191,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_199.jpg,-0.004694836
192,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_268.jpg,-0.004694836
193,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_336.jpg,-0.004694836
194,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_409.jpg,-0.004694836
195,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_481.jpg,-0.004694836
196,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_548.jpg,-0.004694836
197,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_615.jpg,-0.004694836
198,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_687.jpg,-0.004694836
199,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_760.jpg,-0.004694836
200,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_829.jpg,-0.01877934
201,C:\Users\stijn\Documents\GitHub\s22-team6-project\Data\Car_Data\IMG\left_2022_04_03_19_06_33_903.jpg,-0.02347418
